0.063264	0.063264	5-100
0.075314	0.075314	1-30
0.103598	0.103598	4-100
0.126527	0.126527	2-30
0.153138	0.153138	3-100
0.193389	0.193389	5-100
0.230126	0.230126	2-100
0.262762	0.294059	3-100
0.305439	0.305439	5-30
0.323180	0.323180	3-100
0.344100	0.344100	3-70
0.365021	0.365021	3-100
0.385105	0.385105	3-70
0.406360	0.406360	3-100
0.427615	0.427615	3-70
0.448033	0.448033	3-100
0.464937	0.464937	3-100
0.488870	0.488870	4-100
0.502762	0.521841	3-100-0-LOG
0.546946	0.569874	2-100-0-LOG
0.574059	0.574059	1-100
0.592971	0.592971	4-100
0.630795	0.630795	3-100
0.640167	0.698912	2-70-0-LOG
0.800000	0.800000	END
